grammar,version,run,cve,found,evidence
DBMS-Nautilus,3.30.1,1,CVE-2020-13434,False,no matching crash found
DBMS-Nautilus,3.30.1,1,CVE-2020-13435,N/A,
DBMS-Nautilus,3.30.1,1,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.30.1,1,CVE-2020-15358,N/A,
DBMS-Nautilus,3.30.1,2,CVE-2020-13434,True,hash=1ca1c0159b42ae50 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.30.1,2,CVE-2020-13435,N/A,
DBMS-Nautilus,3.30.1,2,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.30.1,2,CVE-2020-15358,N/A,
DBMS-Nautilus,3.30.1,3,CVE-2020-13434,True,hash=767f16fdfbae8ba1 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.30.1,3,CVE-2020-13435,N/A,
DBMS-Nautilus,3.30.1,3,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.30.1,3,CVE-2020-15358,N/A,
DBMS-Nautilus,3.30.1,4,CVE-2020-13434,True,hash=1ca1c0159b42ae50 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.30.1,4,CVE-2020-13435,N/A,
DBMS-Nautilus,3.30.1,4,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.30.1,4,CVE-2020-15358,N/A,
DBMS-Nautilus,3.30.1,5,CVE-2020-13434,True,hash=1ca1c0159b42ae50 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.30.1,5,CVE-2020-13435,N/A,
DBMS-Nautilus,3.30.1,5,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.30.1,5,CVE-2020-15358,N/A,
DBMS-Nautilus,3.31.1,1,CVE-2020-13434,True,hash=7264a343681aca95 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.31.1,1,CVE-2020-13435,N/A,
DBMS-Nautilus,3.31.1,1,CVE-2020-13871,N/A,
DBMS-Nautilus,3.31.1,1,CVE-2020-15358,N/A,
DBMS-Nautilus,3.31.1,2,CVE-2020-13434,True,hash=7264a343681aca95 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.31.1,2,CVE-2020-13435,N/A,
DBMS-Nautilus,3.31.1,2,CVE-2020-13871,N/A,
DBMS-Nautilus,3.31.1,2,CVE-2020-15358,N/A,
DBMS-Nautilus,3.31.1,3,CVE-2020-13434,True,hash=b43f365a68048314 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.31.1,3,CVE-2020-13435,N/A,
DBMS-Nautilus,3.31.1,3,CVE-2020-13871,N/A,
DBMS-Nautilus,3.31.1,3,CVE-2020-15358,N/A,
DBMS-Nautilus,3.31.1,4,CVE-2020-13434,True,hash=7264a343681aca95 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.31.1,4,CVE-2020-13435,N/A,
DBMS-Nautilus,3.31.1,4,CVE-2020-13871,N/A,
DBMS-Nautilus,3.31.1,4,CVE-2020-15358,N/A,
DBMS-Nautilus,3.31.1,5,CVE-2020-13434,True,hash=7264a343681aca95 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.31.1,5,CVE-2020-13435,N/A,
DBMS-Nautilus,3.31.1,5,CVE-2020-13871,N/A,
DBMS-Nautilus,3.31.1,5,CVE-2020-15358,N/A,
DBMS-Nautilus,3.32.0,1,CVE-2020-13434,True,hash=937a301147a0c985 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.32.0,1,CVE-2020-13435,True,hash=9411c5875a64a648 type=ubsan subtype=null-pointer
DBMS-Nautilus,3.32.0,1,CVE-2020-13871,N/A,
DBMS-Nautilus,3.32.0,1,CVE-2020-15358,N/A,
DBMS-Nautilus,3.32.0,2,CVE-2020-13434,True,hash=44c6c886cff47bba type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.32.0,2,CVE-2020-13435,True,hash=9411c5875a64a648 type=ubsan subtype=null-pointer
DBMS-Nautilus,3.32.0,2,CVE-2020-13871,N/A,
DBMS-Nautilus,3.32.0,2,CVE-2020-15358,N/A,
DBMS-Nautilus,3.32.0,3,CVE-2020-13434,True,hash=937a301147a0c985 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.32.0,3,CVE-2020-13435,True,hash=9411c5875a64a648 type=ubsan subtype=null-pointer
DBMS-Nautilus,3.32.0,3,CVE-2020-13871,N/A,
DBMS-Nautilus,3.32.0,3,CVE-2020-15358,N/A,
DBMS-Nautilus,3.32.0,4,CVE-2020-13434,True,hash=937a301147a0c985 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.32.0,4,CVE-2020-13435,True,hash=9411c5875a64a648 type=ubsan subtype=null-pointer
DBMS-Nautilus,3.32.0,4,CVE-2020-13871,N/A,
DBMS-Nautilus,3.32.0,4,CVE-2020-15358,N/A,
DBMS-Nautilus,3.32.0,5,CVE-2020-13434,True,hash=937a301147a0c985 type=ubsan subtype=signed-integer-overflow
DBMS-Nautilus,3.32.0,5,CVE-2020-13435,True,hash=9411c5875a64a648 type=ubsan subtype=null-pointer
DBMS-Nautilus,3.32.0,5,CVE-2020-13871,N/A,
DBMS-Nautilus,3.32.0,5,CVE-2020-15358,N/A,
DBMS-Nautilus,3.32.2,1,CVE-2020-13434,N/A,
DBMS-Nautilus,3.32.2,1,CVE-2020-13435,N/A,
DBMS-Nautilus,3.32.2,1,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.32.2,1,CVE-2020-15358,True,hash=d6534ff3a3f75c14 type=signal subtype=signal-6
DBMS-Nautilus,3.32.2,2,CVE-2020-13434,N/A,
DBMS-Nautilus,3.32.2,2,CVE-2020-13435,N/A,
DBMS-Nautilus,3.32.2,2,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.32.2,2,CVE-2020-15358,True,hash=0b3ca3774d04eb1e type=signal subtype=signal-6
DBMS-Nautilus,3.32.2,3,CVE-2020-13434,N/A,
DBMS-Nautilus,3.32.2,3,CVE-2020-13435,N/A,
DBMS-Nautilus,3.32.2,3,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.32.2,3,CVE-2020-15358,True,hash=06c8206340e0fd26 type=signal subtype=signal-6
DBMS-Nautilus,3.32.2,4,CVE-2020-13434,N/A,
DBMS-Nautilus,3.32.2,4,CVE-2020-13435,N/A,
DBMS-Nautilus,3.32.2,4,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.32.2,4,CVE-2020-15358,True,hash=08b6e6a2e6b03afe type=signal subtype=signal-6
DBMS-Nautilus,3.32.2,5,CVE-2020-13434,N/A,
DBMS-Nautilus,3.32.2,5,CVE-2020-13435,N/A,
DBMS-Nautilus,3.32.2,5,CVE-2020-13871,False,no matching crash found
DBMS-Nautilus,3.32.2,5,CVE-2020-15358,True,hash=b827e6a0707a3f14 type=signal subtype=signal-6
EBNF-Baseline,3.30.1,1,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.30.1,1,CVE-2020-13435,N/A,
EBNF-Baseline,3.30.1,1,CVE-2020-13871,True,hash=48cb7c287ece21f3 type=ubsan subtype=misaligned-access
EBNF-Baseline,3.30.1,1,CVE-2020-15358,N/A,
EBNF-Baseline,3.30.1,2,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.30.1,2,CVE-2020-13435,N/A,
EBNF-Baseline,3.30.1,2,CVE-2020-13871,True,hash=48cb7c287ece21f3 type=ubsan subtype=misaligned-access
EBNF-Baseline,3.30.1,2,CVE-2020-15358,N/A,
EBNF-Baseline,3.30.1,3,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.30.1,3,CVE-2020-13435,N/A,
EBNF-Baseline,3.30.1,3,CVE-2020-13871,True,hash=48cb7c287ece21f3 type=ubsan subtype=misaligned-access
EBNF-Baseline,3.30.1,3,CVE-2020-15358,N/A,
EBNF-Baseline,3.30.1,4,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.30.1,4,CVE-2020-13435,N/A,
EBNF-Baseline,3.30.1,4,CVE-2020-13871,True,hash=48cb7c287ece21f3 type=ubsan subtype=misaligned-access
EBNF-Baseline,3.30.1,4,CVE-2020-15358,N/A,
EBNF-Baseline,3.30.1,5,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.30.1,5,CVE-2020-13435,N/A,
EBNF-Baseline,3.30.1,5,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.30.1,5,CVE-2020-15358,N/A,
EBNF-Baseline,3.31.1,1,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.31.1,1,CVE-2020-13435,N/A,
EBNF-Baseline,3.31.1,1,CVE-2020-13871,N/A,
EBNF-Baseline,3.31.1,1,CVE-2020-15358,N/A,
EBNF-Baseline,3.31.1,2,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.31.1,2,CVE-2020-13435,N/A,
EBNF-Baseline,3.31.1,2,CVE-2020-13871,N/A,
EBNF-Baseline,3.31.1,2,CVE-2020-15358,N/A,
EBNF-Baseline,3.31.1,3,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.31.1,3,CVE-2020-13435,N/A,
EBNF-Baseline,3.31.1,3,CVE-2020-13871,N/A,
EBNF-Baseline,3.31.1,3,CVE-2020-15358,N/A,
EBNF-Baseline,3.31.1,4,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.31.1,4,CVE-2020-13435,N/A,
EBNF-Baseline,3.31.1,4,CVE-2020-13871,N/A,
EBNF-Baseline,3.31.1,4,CVE-2020-15358,N/A,
EBNF-Baseline,3.31.1,5,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.31.1,5,CVE-2020-13435,N/A,
EBNF-Baseline,3.31.1,5,CVE-2020-13871,N/A,
EBNF-Baseline,3.31.1,5,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.0,1,CVE-2020-13434,missing,workdir not found: sqlite-3.32.0_comparison_ebnf_run1
EBNF-Baseline,3.32.0,1,CVE-2020-13435,missing,workdir not found: sqlite-3.32.0_comparison_ebnf_run1
EBNF-Baseline,3.32.0,1,CVE-2020-13871,N/A,
EBNF-Baseline,3.32.0,1,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.0,2,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.32.0,2,CVE-2020-13435,False,no matching crash found
EBNF-Baseline,3.32.0,2,CVE-2020-13871,N/A,
EBNF-Baseline,3.32.0,2,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.0,3,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.32.0,3,CVE-2020-13435,False,no matching crash found
EBNF-Baseline,3.32.0,3,CVE-2020-13871,N/A,
EBNF-Baseline,3.32.0,3,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.0,4,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.32.0,4,CVE-2020-13435,False,no matching crash found
EBNF-Baseline,3.32.0,4,CVE-2020-13871,N/A,
EBNF-Baseline,3.32.0,4,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.0,5,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.32.0,5,CVE-2020-13435,False,no matching crash found
EBNF-Baseline,3.32.0,5,CVE-2020-13871,N/A,
EBNF-Baseline,3.32.0,5,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.2,1,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,1,CVE-2020-13435,N/A,
EBNF-Baseline,3.32.2,1,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.32.2,1,CVE-2020-15358,False,no matching crash found
EBNF-Baseline,3.32.2,2,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,2,CVE-2020-13435,N/A,
