grammar,version,run,num_classes
DBMS-Nautilus,3.30.1,1,7
DBMS-Nautilus,3.30.1,2,6
DBMS-Nautilus,3.30.1,3,8
DBMS-Nautilus,3.30.1,4,8
DBMS-Nautilus,3.30.1,5,6
DBMS-Nautilus,3.31.1,1,5
DBMS-Nautilus,3.31.1,2,6
DBMS-Nautilus,3.31.1,3,6
DBMS-Nautilus,3.31.1,4,7
DBMS-Nautilus,3.31.1,5,6
DBMS-Nautilus,3.32.0,1,4
DBMS-Nautilus,3.32.0,2,4
DBMS-Nautilus,3.32.0,3,5
DBMS-Nautilus,3.32.0,4,4
DBMS-Nautilus,3.32.0,5,5
DBMS-Nautilus,3.32.2,1,2
DBMS-Nautilus,3.32.2,2,2
DBMS-Nautilus,3.32.2,3,4
DBMS-Nautilus,3.32.2,4,2
DBMS-Nautilus,3.32.2,5,2
EBNF-Baseline,3.30.1,1,4
EBNF-Baseline,3.30.1,2,2
EBNF-Baseline,3.30.1,3,3
EBNF-Baseline,3.30.1,4,3
EBNF-Baseline,3.30.1,5,2
EBNF-Baseline,3.31.1,1,1
EBNF-Baseline,3.31.1,2,1
EBNF-Baseline,3.31.1,3,1
EBNF-Baseline,3.31.1,4,1
EBNF-Baseline,3.31.1,5,1
EBNF-Baseline,3.32.0,2,1
EBNF-Baseline,3.32.0,3,1
EBNF-Baseline,3.32.0,4,2
EBNF-Baseline,3.32.0,5,1
EBNF-Baseline,3.32.2,1,1
EBNF-Baseline,3.32.2,2,1
EBNF-Baseline,3.32.2,3,1
EBNF-Baseline,3.32.2,4,1
EBNF-Baseline,3.32.2,5,1
