campaign_id,grammar,sqlite_version,run,duration_sec,total_execs,execs_per_sec,total_edges,total_signals,ubsan_crashes,unique_root_causes,asan_count,ubsan_count,queue_size
ebnf_sqlite-3.30.1_run1,ebnf,sqlite-3.30.1,1,900,186020,206.7,23446,128,128,7,0,5,1835
ebnf_sqlite-3.30.1_run2,ebnf,sqlite-3.30.1,2,900,192971,214.4,23438,108,108,2,0,2,1840
ebnf_sqlite-3.30.1_run3,ebnf,sqlite-3.30.1,3,900,164818,183.1,23327,167,167,4,0,2,1718
ebnf_sqlite-3.30.1_run4,ebnf,sqlite-3.30.1,4,900,179671,199.6,23071,103,103,3,0,2,1820
ebnf_sqlite-3.30.1_run5,ebnf,sqlite-3.30.1,5,900,158936,176.6,23334,85,85,2,0,1,1708
v3.4_sqlite-3.30.1_run1,v3.4,sqlite-3.30.1,1,900,78422,87.1,20112,346,346,207,0,5,1296
v3.4_sqlite-3.30.1_run2,v3.4,sqlite-3.30.1,2,900,86176,95.8,20117,364,364,249,0,5,1326
v3.4_sqlite-3.30.1_run3,v3.4,sqlite-3.30.1,3,900,90201,100.2,19871,335,335,186,0,5,1272
v3.4_sqlite-3.30.1_run4,v3.4,sqlite-3.30.1,4,900,74764,83.1,19464,362,362,205,0,4,1207
v3.4_sqlite-3.30.1_run5,v3.4,sqlite-3.30.1,5,900,78299,87.0,19744,382,382,230,0,6,1284
ebnf_sqlite-3.31.1_run1,ebnf,sqlite-3.31.1,1,900,174289,193.7,23168,131,131,1,0,1,1746
ebnf_sqlite-3.31.1_run2,ebnf,sqlite-3.31.1,2,900,169586,188.4,23750,112,112,1,0,1,1761
ebnf_sqlite-3.31.1_run3,ebnf,sqlite-3.31.1,3,900,165509,183.9,23136,78,78,1,0,1,1684
ebnf_sqlite-3.31.1_run4,ebnf,sqlite-3.31.1,4,900,165915,184.3,22858,129,129,1,0,1,1652
ebnf_sqlite-3.31.1_run5,ebnf,sqlite-3.31.1,5,900,145641,161.8,22998,131,131,1,0,1,1659
v3.4_sqlite-3.31.1_run1,v3.4,sqlite-3.31.1,1,900,100251,111.4,18407,47,47,43,0,2,123
v3.4_sqlite-3.31.1_run2,v3.4,sqlite-3.31.1,2,900,87904,97.7,20707,340,340,182,0,4,1414
v3.4_sqlite-3.31.1_run3,v3.4,sqlite-3.31.1,3,900,70420,78.2,20386,364,364,216,0,4,1297
v3.4_sqlite-3.31.1_run4,v3.4,sqlite-3.31.1,4,900,70822,78.7,20210,404,404,205,0,4,1311
v3.4_sqlite-3.31.1_run5,v3.4,sqlite-3.31.1,5,900,86601,96.2,20341,337,337,207,0,4,1383
ebnf_sqlite-3.32.0_run1,ebnf,sqlite-3.32.0,1,900,376637,418.5,17218,17,17,17,0,0,90
ebnf_sqlite-3.32.0_run2,ebnf,sqlite-3.32.0,2,900,177963,197.7,23234,100,100,1,0,1,1790
ebnf_sqlite-3.32.0_run3,ebnf,sqlite-3.32.0,3,900,170547,189.5,23900,113,113,1,0,1,1850
ebnf_sqlite-3.32.0_run4,ebnf,sqlite-3.32.0,4,900,193057,214.5,23834,126,126,5,0,5,1854
ebnf_sqlite-3.32.0_run5,ebnf,sqlite-3.32.0,5,900,170554,189.5,23612,170,170,1,0,1,1814
v3.4_sqlite-3.32.0_run1,v3.4,sqlite-3.32.0,1,900,91121,101.2,18088,21,21,12,0,2,77
v3.4_sqlite-3.32.0_run2,v3.4,sqlite-3.32.0,2,900,74026,82.3,20289,359,359,176,0,4,1301
v3.4_sqlite-3.32.0_run3,v3.4,sqlite-3.32.0,3,900,65518,72.8,20363,337,337,165,0,4,1225
v3.4_sqlite-3.32.0_run4,v3.4,sqlite-3.32.0,4,900,71238,79.2,20937,396,396,150,0,4,1385
v3.4_sqlite-3.32.0_run5,v3.4,sqlite-3.32.0,5,900,79656,88.5,20410,376,376,194,0,4,1337
ebnf_sqlite-3.32.2_run1,ebnf,sqlite-3.32.2,1,900,142364,158.2,23697,134,134,1,0,1,1639
ebnf_sqlite-3.32.2_run2,ebnf,sqlite-3.32.2,2,900,164225,182.5,23856,129,129,1,0,1,1814
ebnf_sqlite-3.32.2_run3,ebnf,sqlite-3.32.2,3,900,176872,196.5,24058,116,116,1,0,1,1849
ebnf_sqlite-3.32.2_run4,ebnf,sqlite-3.32.2,4,900,176549,196.2,23626,124,124,1,0,1,1753
ebnf_sqlite-3.32.2_run5,ebnf,sqlite-3.32.2,5,900,159706,177.5,23818,93,93,1,0,1,1895
v3.4_sqlite-3.32.2_run1,v3.4,sqlite-3.32.2,1,900,88714,98.6,20664,330,330,311,0,1,1374
v3.4_sqlite-3.32.2_run2,v3.4,sqlite-3.32.2,2,900,72442,80.5,20832,328,328,317,0,1,1263
v3.4_sqlite-3.32.2_run3,v3.4,sqlite-3.32.2,3,900,83070,92.3,20798,243,243,239,0,1,1329
v3.4_sqlite-3.32.2_run4,v3.4,sqlite-3.32.2,4,900,94224,104.7,21133,289,289,280,0,4,1408
v3.4_sqlite-3.32.2_run5,v3.4,sqlite-3.32.2,5,900,89322,99.2,20761,350,350,337,0,1,1347
