campaign_id,grammar,sqlite_version,run,duration_sec,total_execs,execs_per_sec,total_edges,total_signals,ubsan_crashes,unique_root_causes,asan_count,ubsan_count,queue_size
ebnf_sqlite-3.31.1_run1,ebnf,sqlite-3.31.1,1,900,174289,193.7,23168,131,131,1,0,1,1746
ebnf_sqlite-3.31.1_run2,ebnf,sqlite-3.31.1,2,900,169586,188.4,23750,112,112,1,0,1,1761
ebnf_sqlite-3.31.1_run3,ebnf,sqlite-3.31.1,3,900,165509,183.9,23136,78,78,1,0,1,1684
ebnf_sqlite-3.31.1_run4,ebnf,sqlite-3.31.1,4,900,165915,184.3,22858,129,129,1,0,1,1652
ebnf_sqlite-3.31.1_run5,ebnf,sqlite-3.31.1,5,900,145641,161.8,22998,131,131,1,0,1,1659
v3.3_sqlite-3.31.1_run1,v3.3,sqlite-3.31.1,1,900,143023,158.9,21319,78,78,5,0,5,1605
v3.3_sqlite-3.31.1_run2,v3.3,sqlite-3.31.1,2,900,154827,172.0,21552,59,59,3,0,3,1627
v3.3_sqlite-3.31.1_run3,v3.3,sqlite-3.31.1,3,900,151021,167.8,21182,86,86,3,0,3,1591
v3.3_sqlite-3.31.1_run4,v3.3,sqlite-3.31.1,4,900,146978,163.3,21104,123,123,5,0,5,1697
v3.3_sqlite-3.31.1_run5,v3.3,sqlite-3.31.1,5,900,144571,160.6,21381,87,87,3,0,3,1747
ebnf_sqlite-3.32.2_run1,ebnf,sqlite-3.32.2,1,900,142364,158.2,23697,134,134,1,0,1,1639
ebnf_sqlite-3.32.2_run2,ebnf,sqlite-3.32.2,2,900,164225,182.5,23856,129,129,1,0,1,1814
ebnf_sqlite-3.32.2_run3,ebnf,sqlite-3.32.2,3,900,176872,196.5,24058,116,116,1,0,1,1849
ebnf_sqlite-3.32.2_run4,ebnf,sqlite-3.32.2,4,900,176549,196.2,23626,124,124,1,0,1,1753
ebnf_sqlite-3.32.2_run5,ebnf,sqlite-3.32.2,5,900,159706,177.5,23818,93,93,1,0,1,1895
v3.3_sqlite-3.32.2_run1,v3.3,sqlite-3.32.2,1,900,133633,148.5,21181,67,67,1,0,1,1532
v3.3_sqlite-3.32.2_run2,v3.3,sqlite-3.32.2,2,900,116227,129.1,21023,36,36,1,0,1,1505
v3.3_sqlite-3.32.2_run3,v3.3,sqlite-3.32.2,3,900,122199,135.8,20895,51,51,1,0,1,1468
v3.3_sqlite-3.32.2_run4,v3.3,sqlite-3.32.2,4,900,128670,143.0,21414,54,54,5,0,5,1587
v3.3_sqlite-3.32.2_run5,v3.3,sqlite-3.32.2,5,900,123894,137.7,21525,45,45,1,0,1,1532
