campaign_id,grammar,sqlite_version,run,total_crashes,debug_assert_count,signal_count,ubsan_count,asan_count
sqlite-3.30.1_v35_run1,v35,3.30.1,1,26,25,1,2,0
sqlite-3.30.1_v35_run2,v35,3.30.1,2,420,221,199,4,0
sqlite-3.30.1_v35_run3,v35,3.30.1,3,419,233,186,4,0
sqlite-3.30.1_v35_run4,v35,3.30.1,4,389,212,177,4,0
sqlite-3.30.1_v35_run5,v35,3.30.1,5,414,175,239,4,0
sqlite-3.31.1_v35_run1,v35,3.31.1,1,369,172,197,4,0
sqlite-3.31.1_v35_run2,v35,3.31.1,2,334,138,196,4,0
sqlite-3.31.1_v35_run3,v35,3.31.1,3,291,203,88,4,0
sqlite-3.31.1_v35_run4,v35,3.31.1,4,352,151,201,4,0
sqlite-3.31.1_v35_run5,v35,3.31.1,5,308,157,151,4,0
sqlite-3.32.0_v35_run1,v35,3.32.0,1,395,184,211,4,0
sqlite-3.32.0_v35_run2,v35,3.32.0,2,379,192,187,4,0
sqlite-3.32.0_v35_run3,v35,3.32.0,3,281,127,154,4,0
sqlite-3.32.0_v35_run4,v35,3.32.0,4,394,200,194,4,0
sqlite-3.32.0_v35_run5,v35,3.32.0,5,356,138,218,4,0
sqlite-3.32.2_v35_run1,v35,3.32.2,1,337,10,327,1,0
sqlite-3.32.2_v35_run2,v35,3.32.2,2,292,9,283,1,0
sqlite-3.32.2_v35_run3,v35,3.32.2,3,350,9,341,1,0
sqlite-3.32.2_v35_run4,v35,3.32.2,4,462,6,456,1,0
sqlite-3.32.2_v35_run5,v35,3.32.2,5,442,11,431,1,0
