campaign_id,sqlite_version,run,hash,type,subtype,key_function,class_id,count
sqlite-3.30.1_v33_run1,3.30.1,1,42302883be9cc977,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,537
sqlite-3.30.1_v33_run1,3.30.1,1,b45ae061172ad4b5,ubsan,null-pointer,sqlite3Fts5GetTokenizer,BC001,34
sqlite-3.30.1_v33_run1,3.30.1,1,48cb7c287ece21f3,ubsan,misaligned-access,sqlite3WindowUnlinkFromSelect,BC002,23
sqlite-3.30.1_v33_run1,3.30.1,1,767f16fdfbae8ba1,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,10
sqlite-3.30.1_v33_run1,3.30.1,1,1ca1c0159b42ae50,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,8
sqlite-3.30.1_v33_run1,3.30.1,1,186cc5604faecbe4,ubsan,misaligned-access,resetAccumulator,BC011,1
sqlite-3.30.1_v33_run2,3.30.1,2,42302883be9cc977,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,590
sqlite-3.30.1_v33_run2,3.30.1,2,b45ae061172ad4b5,ubsan,null-pointer,sqlite3Fts5GetTokenizer,BC001,25
sqlite-3.30.1_v33_run2,3.30.1,2,767f16fdfbae8ba1,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,7
sqlite-3.30.1_v33_run2,3.30.1,2,48cb7c287ece21f3,ubsan,misaligned-access,sqlite3WindowUnlinkFromSelect,BC002,5
sqlite-3.30.1_v33_run2,3.30.1,2,1ca1c0159b42ae50,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,4
sqlite-3.30.1_v33_run2,3.30.1,2,186cc5604faecbe4,ubsan,misaligned-access,resetAccumulator,BC011,1
sqlite-3.30.1_v33_run3,3.30.1,3,42302883be9cc977,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,489
sqlite-3.30.1_v33_run3,3.30.1,3,b45ae061172ad4b5,ubsan,null-pointer,sqlite3Fts5GetTokenizer,BC001,32
sqlite-3.30.1_v33_run3,3.30.1,3,48cb7c287ece21f3,ubsan,misaligned-access,sqlite3WindowUnlinkFromSelect,BC002,18
sqlite-3.30.1_v33_run3,3.30.1,3,1ca1c0159b42ae50,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,9
sqlite-3.30.1_v33_run3,3.30.1,3,767f16fdfbae8ba1,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,2
sqlite-3.30.1_v33_run3,3.30.1,3,186cc5604faecbe4,ubsan,misaligned-access,resetAccumulator,BC011,1
sqlite-3.30.1_v33_run3,3.30.1,3,6e423265255b1822,ubsan,null-pointer,sqlite3Atoi64,BC008,1
sqlite-3.30.1_v33_run4,3.30.1,4,42302883be9cc977,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,427
sqlite-3.30.1_v33_run4,3.30.1,4,b45ae061172ad4b5,ubsan,null-pointer,sqlite3Fts5GetTokenizer,BC001,20
sqlite-3.30.1_v33_run4,3.30.1,4,767f16fdfbae8ba1,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,12
sqlite-3.30.1_v33_run4,3.30.1,4,48cb7c287ece21f3,ubsan,misaligned-access,sqlite3WindowUnlinkFromSelect,BC002,10
sqlite-3.30.1_v33_run4,3.30.1,4,186cc5604faecbe4,ubsan,misaligned-access,resetAccumulator,BC011,3
sqlite-3.30.1_v33_run4,3.30.1,4,1ca1c0159b42ae50,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,3
sqlite-3.30.1_v33_run4,3.30.1,4,7fcae878221cb405,ubsan,null-pointer,sqlite3Atoi64,BC008,3
sqlite-3.30.1_v33_run5,3.30.1,5,42302883be9cc977,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,587
sqlite-3.30.1_v33_run5,3.30.1,5,b45ae061172ad4b5,ubsan,null-pointer,sqlite3Fts5GetTokenizer,BC001,23
sqlite-3.30.1_v33_run5,3.30.1,5,48cb7c287ece21f3,ubsan,misaligned-access,sqlite3WindowUnlinkFromSelect,BC002,15
sqlite-3.30.1_v33_run5,3.30.1,5,186cc5604faecbe4,ubsan,misaligned-access,resetAccumulator,BC011,7
sqlite-3.30.1_v33_run5,3.30.1,5,1ca1c0159b42ae50,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,3
sqlite-3.30.1_v33_run5,3.30.1,5,767f16fdfbae8ba1,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,3
sqlite-3.31.1_v33_run1,3.31.1,1,c3220eea4184cae8,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,520
sqlite-3.31.1_v33_run1,3.31.1,1,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,BC001,28
sqlite-3.31.1_v33_run1,3.31.1,1,7264a343681aca95,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,7
sqlite-3.31.1_v33_run1,3.31.1,1,78bd3886e40881c5,ubsan,null-pointer,isAuxiliaryVtabOperator,BC012,3
sqlite-3.31.1_v33_run1,3.31.1,1,b43f365a68048314,ubsan,signed-integer-overflow,sqlite3_str_vappendf,BC003,3
sqlite-3.31.1_v33_run2,3.31.1,2,c3220eea4184cae8,ubsan,null-pointer,sqlite3ExprCodeTarget,BC006,449
