campaign_id,grammar,sqlite_version,run,total_crashes,debug_assert_count,signal_count,ubsan_count,asan_count
sqlite-3.30.1_v33_run1,v3.3,3.30.1,1,656,613,42,6,0
sqlite-3.30.1_v33_run2,v3.3,3.30.1,2,676,633,43,6,0
sqlite-3.30.1_v33_run3,v3.3,3.30.1,3,603,553,49,7,0
sqlite-3.30.1_v33_run4,v3.3,3.30.1,4,607,477,130,7,0
sqlite-3.30.1_v33_run5,v3.3,3.30.1,5,676,638,38,6,0
sqlite-3.31.1_v33_run1,v3.3,3.31.1,1,637,561,76,5,0
sqlite-3.31.1_v33_run2,v3.3,3.31.1,2,623,550,73,6,0
sqlite-3.31.1_v33_run3,v3.3,3.31.1,3,528,419,109,6,0
sqlite-3.31.1_v33_run4,v3.3,3.31.1,4,615,544,71,9,0
sqlite-3.31.1_v33_run5,v3.3,3.31.1,5,619,561,58,17,0
sqlite-3.32.0_v33_run1,v3.3,3.32.0,1,561,492,69,4,0
sqlite-3.32.0_v33_run2,v3.3,3.32.0,2,529,469,60,4,0
sqlite-3.32.0_v33_run3,v3.3,3.32.0,3,583,497,86,5,0
sqlite-3.32.0_v33_run4,v3.3,3.32.0,4,604,509,95,4,0
sqlite-3.32.0_v33_run5,v3.3,3.32.0,5,617,534,83,5,0
sqlite-3.32.2_v33_run1,v3.3,3.32.2,1,260,44,216,1,0
sqlite-3.32.2_v33_run2,v3.3,3.32.2,2,224,55,169,1,0
sqlite-3.32.2_v33_run3,v3.3,3.32.2,3,314,52,262,8,0
sqlite-3.32.2_v33_run4,v3.3,3.32.2,4,294,96,198,1,0
sqlite-3.32.2_v33_run5,v3.3,3.32.2,5,256,68,188,1,0
